time (s) - Measured	Pitch (deg) - Measured
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.263672
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.175781
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0.0878906
1	0
1	0
1	0
1	0
1	0
1	0
1	-0.0878906
1	-0.0878906
1	-0.0878906
1	-0.0878906
1	-0.0878906
1	-0.175781
1	-0.175781
1	-0.175781
1	-0.175781
1	-0.175781
1	-0.263672
1	-0.263672
1	-0.263672
1	-0.263672
1	-0.351562
1	-0.351562
1	-0.351562
1	-0.351562
1	-0.439453
1	-0.439453
1	-0.439453
1	-0.439453
1	-0.527344
1	-0.527344
1	-0.527344
1	-0.527344
1	-0.615234
1	-0.615234
1	-0.615234
1	-0.703125
1	-0.703125
1	-0.703125
1	-0.791016
1	-0.791016
1	-0.791016
1	-0.878906
1	-0.966797
1	-0.966797
1	-0.966797
1	-1.05469
1	-1.14258
1	-1.14258
1	-1.23047
1	-1.31836
1	-1.31836
1	-1.40625
2	-1.49414
2	-1.58203
2	-1.75781
2	-1.8457
2	-1.8457
2	-2.02148
2	-2.10938
2	-2.19727
2	-2.28516
2	-2.37305
2	-2.54883
2	-2.63672
2	-2.72461
2	-2.8125
2	-2.98828
2	-3.07617
2	-3.25195
2	-3.33984
2	-3.51563
2	-3.60352
2	-3.7793
2	-3.95508
2	-4.13086
2	-4.30664
2	-4.39453
2	-4.57031
2	-4.74609
2	-4.92188
2	-5.09766
2	-5.27344
2	-5.44922
2	-5.625
2	-5.80078
2	-5.97656
2	-6.15234
2	-6.41602
2	-6.5918
2	-6.76758
2	-6.94336
2	-7.20703
2	-7.38281
2	-7.64648
2	-7.82227
2	-8.08594
2	-8.26172
2	-8.52539
2	-8.70117
2	-8.96484
2	-9.22852
2	-9.49219
2	-9.66797
2	-9.93164
2	-10.1953
2	-10.459
2	-10.7227
2	-10.9863
2	-11.25
2	-11.5137
2	-11.7773
2	-12.041
2	-12.3047
2	-12.5684
2	-12.9199
2	-13.1836
2	-13.4473
2	-13.7109
2	-14.0625
2	-14.3262
2	-14.6777
2	-14.9414
2	-15.2051
2	-15.5566
2	-15.9082
2	-16.1719
2	-16.5234
2	-16.875
2	-17.1387
2	-17.4902
2	-17.8418
2	-18.1934
2	-18.5449
2	-18.8965
2	-19.248
2	-19.5996
2	-19.9512
2	-20.3027
2	-20.6543
2	-21.0059
2	-21.3574
2	-21.709
2	-22.0605
2	-22.5
2	-22.8516
2	-23.291
2	-23.6426
2	-24.082
2	-24.4336
2	-24.7852
2	-25.2246
2	-25.6641
2	-26.0156
2	-26.4551
2	-26.8945
2	-27.2461
2	-27.6855
2	-28.125
2	-28.5645
2	-28.916
2	-29.3555
2	-29.7949
2	-30.2344
2	-30.6738
2	-31.2012
2	-31.5527
2	-32.0801
2	-32.5195
2	-32.959
2	-33.3984
2	-33.8379
2	-34.3652
2	-34.8047
2	-35.2441
2	-35.7715
2	-36.2109
2	-36.7383
2	-37.1777
2	-37.7051
2	-38.2324
2	-38.6719
2	-39.1992
2	-39.6387
2	-40.166
2	-40.6934
2	-41.2207
2	-41.748
2	-42.2754
2	-42.8027
2	-43.3301
2	-43.7695
2	-44.3848
2	-44.9121
2	-45.4395
2	-45.9668
2	-46.4941
2	-47.0215
2	-47.5488
2	-48.1641
2	-48.6914
2	-49.2187
2	-49.834
2	-50.3613
2	-50.9766
2	-51.5039
2	-52.1191
2	-52.6465
2	-53.2617
2	-53.877
2	-54.4043
2	-55.0195
2	-55.6348
2	-56.25
2	-56.8652
2	-57.3926
2	-58.0957
2	-58.623
2	-59.2383
2	-59.9414
2	-60.5566
2	-61.084
2	-61.7871
2	-62.4023
2	-63.0176
2	-63.6328
2	-64.3359
2	-64.9512
2	-65.5664
2	-66.2695
2	-66.8848
2	-67.5
2	-68.2031
2	-68.8184
2	-69.5215
2	-70.1367
2	-70.8398
2	-71.4551
2	-72.1582
2	-72.8613
2	-73.5645
2	-74.2676
2	-74.8828
2	-75.5859
2	-76.2891
2	-76.9922
2	-77.6953
2	-78.3984
2	-79.1016
2	-79.8047
2	-80.5078
2	-81.2109
2	-81.9141
2	-82.7051
