Method      M     tc    tol max_iter RMS comp_time
 euler     71  0.010 0.000100    500 40.463 93.554
 euler     71  0.010 0.000100   1000 40.463 93.928
 euler     71  0.010 0.000100   1500 40.463 93.523
 euler     71  0.010 0.000100   2000 40.463 93.445
 euler     71  0.050 0.001000    500 24.719  6.864
 euler     71  0.050 0.001000   1000 24.719  7.067
 euler     71  0.050 0.001000   1500 24.719  7.098
 euler     71  0.050 0.001000   2000 24.719  7.004
 euler     71  0.050 0.000100    500 25.452 41.028
 euler     71  0.050 0.000100   1000 25.452 40.591
 euler     71  0.050 0.000100   1500 25.452 40.513
 euler     71  0.050 0.000100   2000 25.452 40.467
 euler     71  0.050 0.000010    500 13.602 194.206
 euler     71  0.050 0.000010   1000 27.637 186.593
 euler     71  0.050 0.000010   1500 27.637 186.686
 euler     71  0.050 0.000010   2000 27.637 186.655
 euler     81  0.005 0.001000    500 45.395 33.228
 euler     81  0.005 0.001000   1000 45.395 33.103
 euler     81  0.005 0.001000   1500 45.395 33.462
 euler     81  0.005 0.001000   2000 45.395 32.604
 euler     81  0.005 0.000100    500 54.962 126.657
 euler     81  0.005 0.000100   1000 54.962 127.531
 euler     81  0.005 0.000100   1500 54.962 126.595
 euler     81  0.005 0.000100   2000 54.962 127.063
 euler     81  0.010 0.001000    500 38.609 19.937
 euler     81  0.010 0.001000   1000 38.609 19.984
 euler     81  0.010 0.001000   1500 38.609 19.890
 euler     81  0.010 0.001000   2000 38.609 20.077
 euler     81  0.010 0.000100    500 40.653 95.067
 euler     81  0.010 0.000100   1000 40.653 95.098
 euler     81  0.010 0.000100   1500 40.653 95.020
 euler     81  0.010 0.000100   2000 40.653 95.441
 euler     81  0.050 0.001000    500 22.301  8.034
 euler     81  0.050 0.001000   1000 22.301  8.190
 euler     81  0.050 0.001000   1500 22.301  8.299
 euler     81  0.050 0.001000   2000 22.301  8.128
 euler     81  0.050 0.000100    500 25.443 40.794
 euler     81  0.050 0.000100   1000 25.443 40.763
 euler     81  0.050 0.000100   1500 25.443 40.513
 euler     81  0.050 0.000100   2000 25.443 40.513
 euler     81  0.050 0.000010    500 22.815 206.545
 euler     81  0.050 0.000010   1000 25.049 193.535
 euler     81  0.050 0.000010   1500 25.363 208.714
 euler     81  0.050 0.000010   2000 25.363 208.901
 euler     91  0.005 0.001000    500 51.672 35.537
 euler     91  0.005 0.001000   1000 51.672 35.553
 euler     91  0.005 0.001000   1500 51.672 35.662
 euler     91  0.005 0.001000   2000 51.672 35.007
 euler     91  0.005 0.000100    500 54.365 135.596
 euler     91  0.005 0.000100   1000 54.365 135.003
 euler     91  0.005 0.000100   1500 54.365 135.534
 euler     91  0.005 0.000100   2000 54.365 135.658
 euler     91  0.010 0.001000    500 39.609 21.793
 euler     91  0.010 0.001000   1000 39.609 21.825
 euler     91  0.010 0.001000   1500 39.609 21.622
 euler     91  0.010 0.001000   2000 39.609 21.903
 euler     91  0.010 0.000100    500 39.273 97.906
 euler     91  0.010 0.000100   1000 39.273 98.530
 euler     91  0.010 0.000100   1500 39.273 98.374
 euler     91  0.010 0.000100   2000 39.273 98.468
 euler     91  0.050 0.001000    500 24.814  7.753
 euler     91  0.050 0.001000   1000 24.814  7.769
 euler     91  0.050 0.001000   1500 24.814  7.800
 euler     91  0.050 0.001000   2000 24.814  7.816
 euler     91  0.050 0.000100    500 22.439 39.640
 euler     91  0.050 0.000100   1000 22.439 39.546
 euler     91  0.050 0.000100   1500 22.439 39.484
 euler     91  0.050 0.000100   2000 22.439 39.484
 euler     91  0.050 0.000010    500 15.470 239.134
 euler     91  0.050 0.000010   1000 24.212 199.650
 euler     91  0.050 0.000010   1500 24.212 199.603
 euler     91  0.050 0.000010   2000 24.212 199.556
 euler    101  0.005 0.001000    500 53.400 36.894
 euler    101  0.005 0.001000   1000 53.400 36.551
 euler    101  0.005 0.001000   1500 53.400 37.222
 euler    101  0.005 0.001000   2000 53.400 36.988
 euler    101  0.005 0.000100    500 54.058 135.222
 euler    101  0.005 0.000100   1000 54.058 134.910
 euler    101  0.005 0.000100   1500 54.058 134.878
 euler    101  0.005 0.000100   2000 54.058 134.878
 euler    101  0.010 0.001000    500 39.162 21.263
 euler    101  0.010 0.001000   1000 39.162 21.637
 euler    101  0.010 0.001000   1500 39.162 21.481
 euler    101  0.010 0.001000   2000 39.162 21.591
 euler    101  0.010 0.000100    500 39.313 101.806
 euler    101  0.010 0.000100   1000 39.313 101.557
 euler    101  0.010 0.000100   1500 39.313 101.697
 euler    101  0.010 0.000100   2000 39.313 101.167
 euler    101  0.050 0.001000    500 27.533  7.987
 euler    101  0.050 0.001000   1000 27.533  7.987
 euler    101  0.050 0.001000   1500 27.533  8.018
 euler    101  0.050 0.001000   2000 27.533  8.128
 euler    101  0.050 0.000100    500 23.777 40.248
 euler    101  0.050 0.000100   1000 23.777 40.451
 euler    101  0.050 0.000100   1500 23.777 40.529
 euler    101  0.050 0.000100   2000 23.777 40.342
 euler    101  0.050 0.000010    500 23.631 183.832
 euler    101  0.050 0.000010   1000 23.477 221.007
 euler    101  0.050 0.000010   1500 23.477 221.443
 euler    101  0.050 0.000010   2000 23.477 220.242
  trap     11  0.005 0.001000    500 50.530 34.523
  trap     11  0.005 0.001000   1000 50.530 34.663
  trap     11  0.005 0.001000   1500 50.530 34.461
  trap     11  0.005 0.001000   2000 50.530 34.367
  trap     11  0.005 0.000100    500 47.450 185.111
  trap     11  0.005 0.000100   1000 47.450 184.877
  trap     11  0.005 0.000100   1500 47.450 185.002
  trap     11  0.005 0.000100   2000 47.450 185.064
  trap     11  0.010 0.001000    500 40.991 26.208
  trap     11  0.010 0.001000   1000 40.991 26.286
  trap     11  0.010 0.001000   1500 40.991 26.208
  trap     11  0.010 0.001000   2000 40.991 26.208
  trap     11  0.010 0.000100    500 34.802 132.351
  trap     11  0.010 0.000100   1000 34.152 135.861
  trap     11  0.010 0.000100   1500 34.152 135.939
  trap     11  0.010 0.000100   2000 34.152 136.064
  trap     11  0.050 0.001000    500 18.815 13.042
  trap     11  0.050 0.001000   1000 18.815 13.244
  trap     11  0.050 0.001000   1500 18.815 13.307
  trap     11  0.050 0.001000   2000 18.815 13.057
  trap     11  0.050 0.000100    500 18.641 62.057
  trap     11  0.050 0.000100   1000 17.275 57.767
  trap     11  0.050 0.000100   1500 17.275 58.017
  trap     11  0.050 0.000100   2000 17.275 57.970
  trap     11  0.050 0.000010   1000 18.926 178.746
  trap     11  0.050 0.000010   1500 19.013 192.583
  trap     11  0.050 0.000010   2000 17.002 193.238
  trap     21  0.005 0.001000    500 51.818 33.088
  trap     21  0.005 0.001000   1000 51.818 33.369
  trap     21  0.005 0.001000   1500 51.818 33.556
  trap     21  0.005 0.001000   2000 51.818 33.197
  trap     21  0.005 0.000100    500 51.504 174.113
  trap     21  0.005 0.000100   1000 51.504 174.472
  trap     21  0.005 0.000100   1500 51.504 174.082
  trap     21  0.005 0.000100   2000 51.504 174.706
  trap     21  0.010 0.001000    500 37.189 22.215
  trap     21  0.010 0.001000   1000 37.189 22.183
  trap     21  0.010 0.001000   1500 37.189 22.339
  trap     21  0.010 0.001000   2000 37.189 21.981
  trap     21  0.010 0.000100    500 36.092 131.618
  trap     21  0.010 0.000100   1000 36.092 131.758
  trap     21  0.010 0.000100   1500 36.092 130.729
  trap     21  0.010 0.000100   2000 36.092 130.932
  trap     21  0.050 0.001000    500 18.841  8.736
  trap     21  0.050 0.001000   1000 18.841  8.658
  trap     21  0.050 0.001000   1500 18.841  8.596
  trap     21  0.050 0.001000   2000 18.841  8.845
  trap     21  0.050 0.000100    500 15.950 71.979
  trap     21  0.050 0.000100   1000 15.950 71.963
  trap     21  0.050 0.000100   1500 15.950 72.197
  trap     21  0.050 0.000100   2000 15.950 71.994
  trap     21  0.050 0.000010   1000 18.694 237.387
  trap     31  0.005 0.001000    500 52.415 34.071
  trap     31  0.005 0.001000   1000 52.415 33.712
  trap     31  0.005 0.001000   1500 52.415 33.509
  trap     31  0.005 0.001000   2000 52.415 33.743
  trap     31  0.005 0.000100    500 56.144 172.584
  trap     31  0.005 0.000100   1000 56.144 172.069
  trap     31  0.005 0.000100   1500 56.144 172.303
  trap     31  0.005 0.000100   2000 56.144 172.256
  trap     31  0.010 0.001000    500 36.348 22.215
  trap     31  0.010 0.001000   1000 36.348 22.168
  trap     31  0.010 0.001000   1500 36.348 22.449
  trap     31  0.010 0.001000   2000 36.348 22.511
  trap     31  0.010 0.000100    500 41.609 126.907
  trap     31  0.010 0.000100   1000 41.609 127.141
  trap     31  0.010 0.000100   1500 41.609 127.281
  trap     31  0.010 0.000100   2000 41.609 127.078
  trap     31  0.050 0.001000    500 28.741  7.441
  trap     31  0.050 0.001000   1000 28.741  7.504
  trap     31  0.050 0.001000   1500 28.741  7.410
  trap     31  0.050 0.001000   2000 28.741  7.582
  trap     31  0.050 0.000100    500 16.856 82.369
  trap     31  0.050 0.000100   1000 16.856 82.181
  trap     31  0.050 0.000100   1500 16.856 82.337
  trap     31  0.050 0.000100   2000 16.856 82.259
  trap     41  0.005 0.001000    500 49.254 35.428
  trap     41  0.005 0.001000   1000 49.254 35.241
  trap     41  0.005 0.001000   1500 49.254 35.880
  trap     41  0.005 0.001000   2000 49.254 35.537
  trap     41  0.005 0.000100    500 57.334 170.603
  trap     41  0.005 0.000100   1000 57.334 170.712
  trap     41  0.005 0.000100   1500 57.334 169.979
  trap     41  0.005 0.000100   2000 57.334 170.868
  trap     41  0.010 0.001000    500 37.276 25.428
  trap     41  0.010 0.001000   1000 37.276 25.600
  trap     41  0.010 0.001000   1500 37.276 25.303
  trap     41  0.010 0.001000   2000 37.276 25.631
  trap     41  0.010 0.000100    500 39.529 135.331
  trap     41  0.010 0.000100   1000 39.529 134.208
  trap     41  0.010 0.000100   1500 39.529 134.644
  trap     41  0.010 0.000100   2000 39.529 134.176
  trap     41  0.050 0.001000    500 25.655  7.925
  trap     41  0.050 0.001000   1000 25.655  8.065
  trap     41  0.050 0.001000   1500 25.655  8.034
  trap     41  0.050 0.001000   2000 25.655  8.065
  trap     41  0.050 0.000100    500 25.340 119.731
  trap     41  0.050 0.000100   1000 20.759 178.184
  trap     41  0.050 0.000100   1500 21.844 178.512
  trap     41  0.050 0.000100   2000 21.844 178.684
  trap     41  0.050 0.000010   1000 40.628 221.943
  trap     41  0.050 0.000010   1500 40.628 222.348
  trap     51  0.005 0.001000    500 46.077 36.177
  trap     51  0.005 0.001000   1000 46.077 36.208
  trap     51  0.005 0.001000   1500 46.077 36.426
  trap     51  0.005 0.001000   2000 46.077 36.130
  trap     51  0.005 0.000100    500 55.338 167.904
  trap     51  0.005 0.000100   1000 55.338 168.060
  trap     51  0.005 0.000100   1500 55.338 167.685
  trap     51  0.005 0.000100   2000 55.338 168.185
  trap     51  0.010 0.001000    500 36.418 26.770
  trap     51  0.010 0.001000   1000 36.418 26.380
  trap     51  0.010 0.001000   1500 36.418 26.848
  trap     51  0.010 0.001000   2000 36.418 26.302
  trap     51  0.010 0.000100    500 39.035 127.609
  trap     51  0.010 0.000100   1000 39.035 128.186
  trap     51  0.010 0.000100   1500 39.035 127.375
  trap     51  0.010 0.000100   2000 39.035 127.640
  trap     51  0.050 0.001000    500 28.560  7.114
  trap     51  0.050 0.001000   1000 28.560  7.285
  trap     51  0.050 0.001000   1500 28.560  7.285
  trap     51  0.050 0.001000   2000 28.560  7.207
  trap     51  0.050 0.000100    500 50.365 115.300
  trap     51  0.050 0.000100   1000 50.323 183.270
  trap     51  0.050 0.000100   1500 50.323 183.988
  trap     51  0.050 0.000100   2000 50.323 182.443
  trap     51  0.050 0.000010   1500 20.164 239.399
  trap     51  0.050 0.000010   2000 20.164 239.742
  trap     61  0.005 0.001000    500 50.358 42.370
  trap     61  0.005 0.001000   1000 50.358 42.869
  trap     61  0.005 0.001000   1500 50.358 42.838
  trap     61  0.005 0.001000   2000 50.358 42.463
  trap     61  0.005 0.000100    500 54.355 171.180
  trap     61  0.005 0.000100   1000 54.355 170.899
  trap     61  0.005 0.000100   1500 54.355 170.774
  trap     61  0.005 0.000100   2000 54.355 171.632
  trap     61  0.010 0.001000    500 35.183 30.483
  trap     61  0.010 0.001000   1000 35.183 30.576
  trap     61  0.010 0.001000   1500 35.183 30.295
  trap     61  0.010 0.001000   2000 35.183 30.420
  trap     61  0.010 0.000100    500 39.144 133.396
  trap     61  0.010 0.000100   1000 39.144 133.584
  trap     61  0.010 0.000100   1500 39.144 133.818
  trap     61  0.010 0.000100   2000 39.144 133.178
  trap     61  0.050 0.001000    500 23.076  9.110
  trap     61  0.050 0.001000   1000 23.076  9.313
  trap     61  0.050 0.001000   1500 23.076  9.064
  trap     61  0.050 0.001000   2000 23.076  9.173
  trap     61  0.050 0.000100    500 27.234 46.956
  trap     61  0.050 0.000100   1000 27.234 46.910
  trap     61  0.050 0.000100   1500 27.234 46.863
  trap     61  0.050 0.000100   2000 27.234 46.691
  trap     61  0.050 0.000010   1500 25.699 202.989
  trap     61  0.050 0.000010   2000 25.699 202.567
  trap     71  0.005 0.001000    500 64.189 32.947
  trap     71  0.005 0.001000   1000 64.189 32.479
  trap     71  0.005 0.001000   1500 64.189 32.199
  trap     71  0.005 0.001000   2000 64.189 32.604
  trap     71  0.005 0.000100    500 53.057 168.809
  trap     71  0.005 0.000100   1000 53.057 168.528
  trap     71  0.005 0.000100   1500 53.057 168.949
  trap     71  0.005 0.000100   2000 53.057 169.074
  trap     71  0.010 0.001000    500 36.130 25.600
  trap     71  0.010 0.001000   1000 36.130 25.990
  trap     71  0.010 0.001000   1500 36.130 26.052
  trap     71  0.010 0.001000   2000 36.130 26.005
  trap     71  0.010 0.000100    500 39.087 146.485
  trap     71  0.010 0.000100   1000 39.087 146.251
  trap     71  0.010 0.000100   1500 39.087 146.111
  trap     71  0.010 0.000100   2000 39.087 146.189
  trap     71  0.050 0.001000    500 28.749  7.691
  trap     71  0.050 0.001000   1000 28.749  7.784
  trap     71  0.050 0.001000   1500 28.749  7.769
  trap     71  0.050 0.001000   2000 28.749  7.628
  trap     71  0.050 0.000100    500 52.763 39.515
  trap     71  0.050 0.000100   1000 52.763 41.247
  trap     71  0.050 0.000100   1500 52.763 39.499
  trap     71  0.050 0.000100   2000 52.763 39.749
  trap     71  0.050 0.000010   1000 54.466 183.254
  trap     71  0.050 0.000010   1500 54.466 181.039
  trap     71  0.050 0.000010   2000 54.466 181.663
  trap     81  0.005 0.001000    500 63.638 32.901
  trap     81  0.005 0.001000   1000 63.638 32.932
  trap     81  0.005 0.001000   1500 63.638 32.542
  trap     81  0.005 0.001000   2000 63.638 32.979
  trap     81  0.005 0.000100    500 52.768 174.643
  trap     81  0.005 0.000100   1000 52.768 174.425
  trap     81  0.005 0.000100   1500 52.768 174.316
  trap     81  0.005 0.000100   2000 52.768 174.596
  trap     81  0.010 0.001000    500 37.507 25.194
  trap     81  0.010 0.001000   1000 37.507 25.257
  trap     81  0.010 0.001000   1500 37.507 25.335
  trap     81  0.010 0.001000   2000 37.507 25.147
  trap     81  0.010 0.000100    500 38.097 133.022
  trap     81  0.010 0.000100   1000 38.097 133.568
  trap     81  0.010 0.000100   1500 38.097 134.972
  trap     81  0.010 0.000100   2000 38.097 133.225
  trap     81  0.050 0.001000    500 62.561 20.093
  trap     81  0.050 0.001000   1000 62.561 20.327
  trap     81  0.050 0.001000   1500 62.561 21.294
  trap     81  0.050 0.001000   2000 62.561 20.452
  trap     81  0.050 0.000100    500 43.655 43.072
  trap     81  0.050 0.000100   1000 43.655 43.321
  trap     81  0.050 0.000100   1500 43.655 43.633
  trap     81  0.050 0.000100   2000 43.655 44.257
  trap     81  0.050 0.000010   1000 41.099 204.658
  trap     81  0.050 0.000010   1500 41.099 204.393
  trap     81  0.050 0.000010   2000 41.099 204.221
  trap     91  0.005 0.001000    500 68.186 34.008
  trap     91  0.005 0.001000   1000 68.186 33.743
  trap     91  0.005 0.001000   1500 68.186 34.117
  trap     91  0.005 0.001000   2000 68.186 33.696
  trap     91  0.005 0.000100    500 51.873 181.960
  trap     91  0.005 0.000100   1000 51.873 181.710
  trap     91  0.005 0.000100   1500 51.873 181.710
  trap     91  0.005 0.000100   2000 51.873 180.946
  trap     91  0.010 0.001000    500 37.642 27.472
  trap     91  0.010 0.001000   1000 37.642 27.347
  trap     91  0.010 0.001000   1500 37.642 27.347
  trap     91  0.010 0.001000   2000 37.642 27.597
  trap     91  0.010 0.000100    500 38.181 120.636
  trap     91  0.010 0.000100   1000 38.181 120.698
  trap     91  0.010 0.000100   1500 38.181 120.261
  trap     91  0.010 0.000100   2000 38.181 120.433
  trap     91  0.050 0.001000    500 29.093  7.238
  trap     91  0.050 0.001000   1000 29.093  7.207
  trap     91  0.050 0.001000   1500 29.093  7.207
  trap     91  0.050 0.001000   2000 29.093  7.223
  trap     91  0.050 0.000100    500 25.879 39.718
  trap     91  0.050 0.000100   1000 25.879 39.921
  trap     91  0.050 0.000100   1500 25.879 39.546
  trap     91  0.050 0.000100   2000 25.879 39.765
  trap    101  0.005 0.001000    500 64.414 36.411
  trap    101  0.005 0.001000   1000 64.414 36.114
  trap    101  0.005 0.001000   1500 64.414 36.691
  trap    101  0.005 0.001000   2000 64.414 36.551
  trap    101  0.005 0.000100    500 53.662 166.032
  trap    101  0.005 0.000100   1000 53.662 164.331
  trap    101  0.005 0.000100   1500 53.662 164.877
  trap    101  0.005 0.000100   2000 53.662 164.659
  trap    101  0.010 0.001000    500 53.293 21.091
  trap    101  0.010 0.001000   1000 53.293 21.403
  trap    101  0.010 0.001000   1500 53.293 21.154
  trap    101  0.010 0.001000   2000 53.293 21.435
  trap    101  0.010 0.000100    500 39.087 133.833
  trap    101  0.010 0.000100   1000 39.087 133.069
  trap    101  0.010 0.000100   1500 39.087 133.287
  trap    101  0.010 0.000100   2000 39.087 132.694
  trap    101  0.050 0.001000    500 26.606  8.362
  trap    101  0.050 0.001000   1000 26.606  8.362
  trap    101  0.050 0.001000   1500 26.606  8.206
  trap    101  0.050 0.001000   2000 26.606  8.424
