Simulation Time - Measured	Travel (deg) - Measured
3.205	18.5449
3.21	18.5889
3.215	18.5889
3.22	18.5889
3.225	18.5889
3.23	18.6328
3.235	18.6328
3.24	18.6328
3.245	18.6328
3.25	18.6768
3.255	18.6768
3.26	18.6768
3.265	18.6768
3.27	18.6768
3.275	18.7207
3.28	18.7207
3.285	18.7207
3.29	18.7207
3.295	18.7207
3.3	18.7646
3.305	18.7646
3.31	18.7646
3.315	18.7646
3.32	18.8086
3.325	18.8086
3.33	18.8086
3.335	18.8525
3.34	18.8525
3.345	18.8525
3.35	18.8525
3.355	18.8525
3.36	18.8525
3.365	18.8525
3.37	18.8965
3.375	18.8965
3.38	18.8965
3.385	18.8965
3.39	18.8965
3.395	18.8965
3.4	18.8965
3.405	18.9404
3.41	18.9404
3.415	18.9404
3.42	18.9404
3.425	18.9404
3.43	18.9404
3.435	18.9844
3.44	18.9844
3.445	18.9844
3.45	18.9844
3.455	18.9844
3.46	18.9844
3.465	18.9844
3.47	19.0283
3.475	19.0283
3.48	19.0283
3.485	19.0283
3.49	19.0283
3.495	19.0283
3.5	19.0723
3.505	19.0283
3.51	19.0723
3.515	19.0723
3.52	19.0723
3.525	19.0723
3.53	19.1162
3.535	19.1162
3.54	19.1162
3.545	19.1162
3.55	19.1162
3.555	19.1162
3.56	19.1162
3.565	19.1162
3.57	19.1602
3.575	19.1602
3.58	19.1602
3.585	19.1602
3.59	19.1602
3.595	19.1602
3.6	19.1602
3.605	19.1602
3.61	19.1602
3.615	19.2041
3.62	19.2041
3.625	19.2041
3.63	19.2041
3.635	19.2041
3.64	19.2041
3.645	19.2041
3.65	19.2041
3.655	19.2041
3.66	19.2041
3.665	19.2041
3.67	19.2041
3.675	19.2041
3.68	19.248
3.685	19.248
3.69	19.248
3.695	19.248
3.7	19.248
3.705	19.248
3.71	19.248
3.715	19.248
3.72	19.248
3.725	19.248
3.73	19.248
3.735	19.248
3.74	19.248
3.745	19.248
3.75	19.248
3.755	19.248
3.76	19.248
3.765	19.292
3.77	19.292
3.775	19.292
3.78	19.292
3.785	19.292
3.79	19.292
3.795	19.292
3.8	19.292
3.805	19.292
3.81	19.292
3.815	19.292
3.82	19.292
3.825	19.292
3.83	19.292
3.835	19.292
3.84	19.292
3.845	19.292
3.85	19.292
3.855	19.292
3.86	19.292
3.865	19.292
3.87	19.292
3.875	19.292
3.88	19.292
3.885	19.292
3.89	19.292
3.895	19.292
3.9	19.292
3.905	19.292
3.91	19.292
3.915	19.292
3.92	19.3359
3.925	19.3359
3.93	19.292
3.935	19.292
3.94	19.292
3.945	19.3359
3.95	19.3359
3.955	19.292
3.96	19.3359
3.965	19.3359
3.97	19.292
3.975	19.3359
3.98	19.3359
3.985	19.3359
3.99	19.292
3.995	19.3359
4	19.292
4.005	19.3359
4.01	19.292
4.015	19.292
4.02	19.3359
4.025	19.292
4.03	19.3359
4.035	19.3359
4.04	19.292
4.045	19.292
4.05	19.3359
4.055	19.292
4.06	19.292
4.065	19.3359
4.07	19.292
4.075	19.292
4.08	19.292
4.085	19.292
4.09	19.292
4.095	19.292
4.1	19.292
4.105	19.292
4.11	19.292
4.115	19.292
4.12	19.292
4.125	19.292
4.13	19.292
4.135	19.292
4.14	19.292
4.145	19.292
4.15	19.292
4.155	19.292
4.16	19.292
4.165	19.292
4.17	19.292
4.175	19.292
4.18	19.292
4.185	19.292
4.19	19.292
4.195	19.292
4.2	19.292
4.205	19.292
4.21	19.292
4.215	19.248
4.22	19.292
4.225	19.248
4.23	19.248
4.235	19.248
4.24	19.248
4.245	19.248
4.25	19.248
4.255	19.248
4.26	19.248
4.265	19.248
4.27	19.248
4.275	19.248
4.28	19.248
4.285	19.248
4.29	19.248
4.295	19.248
4.3	19.248
4.305	19.2041
4.31	19.248
4.315	19.248
4.32	19.2041
4.325	19.2041
4.33	19.2041
4.335	19.2041
4.34	19.2041
4.345	19.2041
4.35	19.2041
4.355	19.2041
4.36	19.2041
4.365	19.2041
4.37	19.2041
4.375	19.2041
4.38	19.2041
4.385	19.2041
4.39	19.2041
4.395	19.2041
4.4	19.1602
4.405	19.1602
4.41	19.1602
4.415	19.1602
4.42	19.1602
4.425	19.1602
4.43	19.1602
4.435	19.1602
4.44	19.1602
4.445	19.1602
4.45	19.1602
4.455	19.1602
4.46	19.1602
4.465	19.1602
4.47	19.1602
4.475	19.1602
4.48	19.1162
4.485	19.1162
4.49	19.1162
4.495	19.1162
4.5	19.1162
4.505	19.1162
4.51	19.1162
4.515	19.1162
4.52	19.1162
4.525	19.1162
4.53	19.1162
4.535	19.1162
4.54	19.0723
4.545	19.1162
4.55	19.0723
4.555	19.0723
4.56	19.0723
4.565	19.0723
4.57	19.0723
4.575	19.0723
4.58	19.0723
4.585	19.0723
4.59	19.0723
4.595	19.0723
4.6	19.0283
4.605	19.0283
4.61	19.0283
4.615	19.0283
4.62	19.0283
4.625	19.0283
4.63	19.0283
4.635	19.0283
4.64	19.0283
4.645	19.0283
4.65	19.0283
4.655	19.0283
4.66	19.0283
4.665	19.0283
4.67	18.9844
4.675	18.9844
4.68	18.9844
4.685	18.9844
4.69	18.9844
4.695	18.9844
4.7	18.9844
4.705	18.9844
4.71	18.9844
4.715	18.9844
4.72	18.9844
4.725	18.9844
4.73	18.9844
4.735	18.9404
4.74	18.9404
4.745	18.9404
4.75	18.9404
4.755	18.9404
4.76	18.9404
4.765	18.9404
4.77	18.9404
4.775	18.9404
4.78	18.9404
4.785	18.9404
4.79	18.9404
4.795	18.8965
4.8	18.8965
4.805	18.8965
4.81	18.8965
4.815	18.8965
4.82	18.8965
4.825	18.8965
4.83	18.8965
4.835	18.8965
4.84	18.8965
4.845	18.8965
4.85	18.8965
4.855	18.8965
4.86	18.8525
4.865	18.8525
4.87	18.8525
4.875	18.8525
4.88	18.8525
4.885	18.8525
4.89	18.8525
4.895	18.8525
4.9	18.8525
4.905	18.8525
4.91	18.8525
4.915	18.8525
4.92	18.8525
4.925	18.8086
4.93	18.8086
4.935	18.8086
4.94	18.8086
4.945	18.8086
4.95	18.8086
4.955	18.8086
4.96	18.8086
4.965	18.8086
4.97	18.8086
4.975	18.8086
4.98	18.8086
4.985	18.8086
4.99	18.7646
4.995	18.7646
5	18.7646
5.005	18.7646
5.01	18.7646
5.015	18.7646
5.02	18.7646
5.025	18.7646
5.03	18.7646
5.035	18.7646
5.04	18.7646
5.045	18.7646
5.05	18.7646
5.055	18.7646
5.06	18.7646
5.065	18.7646
5.07	18.7646
5.075	18.7646
5.08	18.7646
5.085	18.7646
5.09	18.7646
5.095	18.7646
5.1	18.7207
5.105	18.7207
5.11	18.7207
5.115	18.7207
5.12	18.7646
5.125	18.7646
5.13	18.7646
5.135	18.7646
5.14	18.7646
5.145	18.7646
5.15	18.7646
5.155	18.7646
5.16	18.7646
5.165	18.7646
5.17	18.7646
5.175	18.7646
5.18	18.7646
5.185	18.7207
5.19	18.8086
5.195	18.7207
5.2	18.7646
5.205	18.7646
5.21	18.8086
5.215	18.7207
5.22	18.8086
5.225	18.7207
5.23	18.8086
5.235	18.7646
5.24	18.7646
5.245	18.8525
5.25	18.7646
5.255	18.8525
5.26	18.7646
5.265	18.8525
5.27	18.7646
5.275	18.8086
5.28	18.8086
5.285	18.8086
5.29	18.8086
5.295	18.8086
5.3	18.8086
5.305	18.8086
5.31	18.8086
5.315	18.8086
5.32	18.8086
5.325	18.8086
5.33	18.8525
5.335	18.8525
5.34	18.8525
5.345	18.8525
5.35	18.8525
5.355	18.8086
5.36	18.8086
5.365	18.8525
5.37	18.8086
5.375	18.8086
5.38	18.8086
5.385	18.8525
5.39	18.8525
5.395	18.8086
5.4	18.8086
5.405	18.8086
5.41	18.8086
5.415	18.7646
5.42	18.7646
5.425	18.8086
5.43	18.7646
5.435	18.7646
5.44	18.7646
5.445	18.7646
5.45	18.7646
5.455	18.7646
5.46	18.7207
5.465	18.7207
5.47	18.7207
5.475	18.7207
5.48	18.7207
5.485	18.7207
5.49	18.6768
5.495	18.6768
5.5	18.6768
5.505	18.6328
5.51	18.6328
5.515	18.6328
5.52	18.6328
5.525	18.5889
5.53	18.5889
5.535	18.5889
5.54	18.5889
5.545	18.5889
5.55	18.5449
5.555	18.5449
5.56	18.5449
5.565	18.501
5.57	18.501
5.575	18.501
5.58	18.501
5.585	18.457
5.59	18.457
5.595	18.457
5.6	18.4131
5.605	18.4131
5.61	18.4131
5.615	18.3691
5.62	18.3691
5.625	18.3691
5.63	18.3252
5.635	18.3252
5.64	18.3252
5.645	18.2813
5.65	18.2813
5.655	18.2813
5.66	18.2373
5.665	18.2373
5.67	18.2373
5.675	18.1934
5.68	18.1934
5.685	18.1934
5.69	18.1934
5.695	18.1934
5.7	18.1494
5.705	18.1494
5.71	18.1494
5.715	18.1055
5.72	18.1055
5.725	18.0615
5.73	18.0615
5.735	18.0615
5.74	18.0615
5.745	18.0176
5.75	18.0176
5.755	18.0176
5.76	17.9736
5.765	17.9736
5.77	17.9736
5.775	17.9736
5.78	17.9736
5.785	17.9297
5.79	17.9297
5.795	17.9297
5.8	17.9297
5.805	17.9297
5.81	17.8857
5.815	17.8857
5.82	17.8857
5.825	17.8857
5.83	17.8857
5.835	17.8857
5.84	17.8857
5.845	17.8418
5.85	17.8418
5.855	17.8418
5.86	17.8418
5.865	17.8418
5.87	17.8418
5.875	17.8418
5.88	17.8418
5.885	17.8418
5.89	17.8418
5.895	17.8418
5.9	17.8418
5.905	17.8418
5.91	17.8418
5.915	17.7979
5.92	17.7979
5.925	17.7979
5.93	17.7979
5.935	17.7979
5.94	17.7979
5.945	17.7979
5.95	17.7979
5.955	17.7979
5.96	17.7979
5.965	17.7979
5.97	17.7979
5.975	17.7979
5.98	17.7979
5.985	17.7979
5.99	17.7979
5.995	17.7979
6	17.7979
6.005	17.7979
6.01	17.7979
6.015	17.7979
6.02	17.7979
6.025	17.7979
6.03	17.7979
6.035	17.8418
6.04	17.8418
6.045	17.8418
6.05	17.8418
6.055	17.8418
6.06	17.8418
6.065	17.8418
6.07	17.8418
6.075	17.8418
6.08	17.8418
6.085	17.8418
6.09	17.8418
6.095	17.8418
6.1	17.8857
6.105	17.8857
6.11	17.8857
6.115	17.8857
6.12	17.8857
6.125	17.8857
6.13	17.8857
6.135	17.8857
6.14	17.8857
6.145	17.8857
6.15	17.8857
6.155	17.9297
6.16	17.9297
6.165	17.9297
6.17	17.9297
6.175	17.9297
6.18	17.9297
6.185	17.9736
6.19	17.9736
6.195	17.9736
6.2	17.9736
6.205	17.9736
6.21	17.9736
6.215	17.9736
6.22	18.0176
6.225	18.0176
6.23	18.0176
6.235	18.0176
6.24	18.0176
6.245	18.0176
6.25	18.0176
6.255	18.0176
6.26	18.0176
6.265	18.0176
6.27	18.0176
6.275	18.0176
6.28	18.0176
6.285	18.0615
6.29	18.0615
6.295	18.0615
6.3	18.0615
6.305	18.0615
6.31	18.0615
6.315	18.0615
6.32	18.0615
6.325	18.0615
6.33	18.0615
6.335	18.0615
6.34	18.0615
6.345	18.1055
6.35	18.1055
6.355	18.1055
6.36	18.1055
6.365	18.1055
6.37	18.1055
6.375	18.1055
6.38	18.1055
6.385	18.1055
6.39	18.1055
6.395	18.1055
6.4	18.1055
6.405	18.1055
6.41	18.1055
6.415	18.1494
6.42	18.1494
6.425	18.1494
6.43	18.1494
6.435	18.1494
6.44	18.1494
6.445	18.1494
6.45	18.1494
6.455	18.1494
6.46	18.1494
6.465	18.1494
6.47	18.1494
6.475	18.1494
6.48	18.1494
6.485	18.1494
6.49	18.1494
6.495	18.1494
6.5	18.1494
6.505	18.1494
6.51	18.1494
6.515	18.1494
6.52	18.1494
6.525	18.1494
6.53	18.1934
6.535	18.1934
6.54	18.1934
6.545	18.1934
6.55	18.1934
6.555	18.1934
6.56	18.1934
6.565	18.1934
6.57	18.1934
6.575	18.1934
6.58	18.1934
6.585	18.1934
6.59	18.1934
6.595	18.1934
6.6	18.1934
6.605	18.1934
6.61	18.1934
6.615	18.1934
6.62	18.1934
6.625	18.1934
6.63	18.1934
6.635	18.1934
6.64	18.1934
6.645	18.1934
6.65	18.1934
6.655	18.1934
6.66	18.1934
6.665	18.1934
6.67	18.1934
6.675	18.1934
6.68	18.1934
6.685	18.1934
6.69	18.1934
6.695	18.1934
6.7	18.1934
6.705	18.1934
6.71	18.1934
6.715	18.1934
6.72	18.1934
6.725	18.1934
6.73	18.1934
6.735	18.1934
6.74	18.1934
6.745	18.1934
6.75	18.1934
6.755	18.1934
6.76	18.1934
6.765	18.1934
6.77	18.1934
6.775	18.1934
6.78	18.1934
6.785	18.1934
6.79	18.1934
6.795	18.1934
6.8	18.1934
6.805	18.1934
6.81	18.1934
6.815	18.1934
6.82	18.1934
6.825	18.1934
6.83	18.1934
6.835	18.1934
6.84	18.1934
6.845	18.1934
6.85	18.1934
6.855	18.1934
6.86	18.1934
6.865	18.1934
6.87	18.1934
6.875	18.1934
6.88	18.1934
6.885	18.1934
6.89	18.1494
6.895	18.1494
