Elevation (deg) - Measured	
2.11	-8.51563
2.115	-8.51563
2.12	-8.51563
2.125	-8.51563
2.13	-8.51563
2.135	-8.51563
2.14	-8.51563
2.145	-8.51563
2.15	-8.51563
2.155	-8.51563
2.16	-8.51563
2.165	-8.51563
2.17	-8.51563
2.175	-8.60352
2.18	-8.60352
2.185	-8.60352
2.19	-8.60352
2.195	-8.60352
2.2	-8.60352
2.205	-8.60352
2.21	-8.60352
2.215	-8.60352
2.22	-8.60352
2.225	-8.60352
2.23	-8.60352
2.235	-8.60352
2.24	-8.60352
2.245	-8.60352
2.25	-8.60352
2.255	-8.60352
2.26	-8.60352
2.265	-8.60352
2.27	-8.60352
2.275	-8.69141
2.28	-8.69141
2.285	-8.69141
2.29	-8.69141
2.295	-8.69141
2.3	-8.69141
2.305	-8.69141
2.31	-8.69141
2.315	-8.69141
2.32	-8.69141
2.325	-8.69141
2.33	-8.7793
2.335	-8.7793
2.34	-8.7793
2.345	-8.7793
2.35	-8.7793
2.355	-8.7793
2.36	-8.7793
2.365	-8.7793
2.37	-8.7793
2.375	-8.7793
2.38	-8.7793
2.385	-8.7793
2.39	-8.7793
2.395	-8.7793
2.4	-8.7793
2.405	-8.7793
2.41	-8.7793
2.415	-8.7793
2.42	-8.7793
2.425	-8.7793
2.43	-8.7793
2.435	-8.7793
2.44	-8.7793
2.445	-8.7793
2.45	-8.7793
2.455	-8.7793
2.46	-8.7793
2.465	-8.86719
2.47	-8.86719
2.475	-8.86719
2.48	-8.86719
2.485	-8.86719
2.49	-8.86719
2.495	-8.86719
2.5	-8.86719
2.505	-8.86719
2.51	-8.86719
2.515	-8.86719
2.52	-8.86719
2.525	-8.86719
2.53	-8.86719
2.535	-8.86719
2.54	-8.86719
2.545	-8.86719
2.55	-8.86719
2.555	-8.86719
2.56	-8.86719
2.565	-8.86719
2.57	-8.86719
2.575	-8.86719
2.58	-8.86719
2.585	-8.86719
2.59	-8.86719
2.595	-8.86719
2.6	-8.86719
2.605	-8.86719
2.61	-8.86719
2.615	-8.86719
2.62	-8.86719
2.625	-8.86719
2.63	-8.86719
2.635	-8.86719
2.64	-8.95508
2.645	-8.95508
2.65	-8.95508
2.655	-8.95508
2.66	-8.95508
2.665	-8.95508
2.67	-8.95508
2.675	-8.95508
2.68	-8.95508
2.685	-8.95508
2.69	-8.95508
2.695	-8.95508
2.7	-8.95508
2.705	-8.95508
2.71	-8.95508
2.715	-8.95508
2.72	-8.95508
2.725	-8.95508
2.73	-8.95508
2.735	-8.95508
2.74	-8.95508
2.745	-8.95508
2.75	-8.95508
2.755	-8.95508
2.76	-8.95508
2.765	-8.95508
2.77	-8.95508
2.775	-8.95508
2.78	-8.95508
2.785	-8.95508
2.79	-8.95508
2.795	-8.95508
2.8	-8.95508
2.805	-8.95508
2.81	-8.95508
2.815	-8.95508
2.82	-8.95508
2.825	-8.95508
2.83	-8.95508
2.835	-8.95508
2.84	-8.95508
2.845	-9.04297
2.85	-9.04297
2.855	-9.04297
2.86	-9.04297
2.865	-9.04297
2.87	-9.04297
2.875	-9.04297
2.88	-9.04297
2.885	-9.04297
2.89	-9.04297
2.895	-9.04297
2.9	-9.04297
2.905	-9.04297
2.91	-9.04297
2.915	-9.04297
2.92	-9.04297
2.925	-9.04297
2.93	-9.04297
2.935	-9.04297
2.94	-9.04297
2.945	-9.04297
2.95	-9.04297
2.955	-9.04297
2.96	-9.04297
2.965	-9.04297
2.97	-9.13086
2.975	-9.13086
2.98	-9.13086
2.985	-9.13086
2.99	-9.13086
2.995	-9.13086
3	-9.13086
3.005	-9.13086
3.01	-9.13086
3.015	-9.13086
3.02	-9.13086
3.025	-9.13086
3.03	-9.13086
3.035	-9.13086
3.04	-9.13086
3.045	-9.13086
3.05	-9.13086
3.055	-9.13086
3.06	-9.13086
3.065	-9.13086
3.07	-9.13086
3.075	-9.13086
3.08	-9.13086
3.085	-9.13086
3.09	-9.13086
3.095	-9.13086
3.1	-9.13086
3.105	-9.13086
3.11	-9.13086
3.115	-9.13086
3.12	-9.13086
3.125	-9.13086
3.13	-9.13086
3.135	-9.13086
3.14	-9.13086
3.145	-9.13086
3.15	-9.13086
3.155	-9.13086
3.16	-9.13086
3.165	-9.13086
3.17	-9.13086
3.175	-9.13086
3.18	-9.21875
3.185	-9.21875
3.19	-9.21875
3.195	-9.21875
3.2	-9.21875
3.205	-9.21875
3.21	-9.21875
3.215	-9.21875
3.22	-9.21875
3.225	-9.21875
3.23	-9.21875
3.235	-9.21875
3.24	-9.21875
3.245	-9.21875
3.25	-9.21875
3.255	-9.21875
3.26	-9.21875
3.265	-9.21875
3.27	-9.21875
3.275	-9.21875
3.28	-9.21875
3.285	-9.21875
3.29	-9.21875
3.295	-9.21875
3.3	-9.21875
3.305	-9.21875
3.31	-9.21875
3.315	-9.21875
3.32	-9.21875
3.325	-9.21875
3.33	-9.21875
3.335	-9.21875
3.34	-9.21875
3.345	-9.21875
3.35	-9.21875
3.355	-9.21875
3.36	-9.21875
3.365	-9.21875
3.37	-9.21875
3.375	-9.21875
3.38	-9.21875
3.385	-9.21875
3.39	-9.21875
3.395	-9.21875
3.4	-9.21875
3.405	-9.21875
3.41	-9.21875
3.415	-9.21875
3.42	-9.21875
3.425	-9.21875
3.43	-9.21875
3.435	-9.21875
3.44	-9.21875
3.445	-9.21875
3.45	-9.21875
3.455	-9.21875
3.46	-9.21875
3.465	-9.21875
3.47	-9.21875
3.475	-9.21875
3.48	-9.21875
3.485	-9.21875
3.49	-9.21875
3.495	-9.21875
3.5	-9.30664
3.505	-9.30664
3.51	-9.30664
3.515	-9.30664
3.52	-9.30664
3.525	-9.30664
3.53	-9.30664
3.535	-9.30664
3.54	-9.30664
3.545	-9.30664
3.55	-9.30664
3.555	-9.30664
3.56	-9.30664
3.565	-9.30664
3.57	-9.30664
3.575	-9.30664
3.58	-9.30664
3.585	-9.30664
3.59	-9.30664
3.595	-9.30664
3.6	-9.30664
3.605	-9.30664
3.61	-9.30664
3.615	-9.30664
3.62	-9.30664
3.625	-9.30664
3.63	-9.30664
3.635	-9.30664
3.64	-9.30664
3.645	-9.30664
3.65	-9.30664
3.655	-9.30664
3.66	-9.30664
3.665	-9.30664
3.67	-9.30664
3.675	-9.30664
3.68	-9.30664
3.685	-9.30664
3.69	-9.30664
3.695	-9.30664
3.7	-9.30664
3.705	-9.30664
3.71	-9.30664
3.715	-9.30664
3.72	-9.30664
3.725	-9.30664
3.73	-9.30664
3.735	-9.30664
3.74	-9.30664
3.745	-9.30664
3.75	-9.30664
3.755	-9.30664
3.76	-9.30664
3.765	-9.30664
3.77	-9.30664
3.775	-9.30664
3.78	-9.30664
3.785	-9.30664
3.79	-9.30664
3.795	-9.30664
3.8	-9.30664
3.805	-9.30664
3.81	-9.30664
3.815	-9.30664
3.82	-9.30664
3.825	-9.30664
3.83	-9.30664
3.835	-9.30664
3.84	-9.30664
3.845	-9.30664
3.85	-9.30664
3.855	-9.30664
3.86	-9.30664
3.865	-9.30664
3.87	-9.30664
3.875	-9.30664
3.88	-9.30664
3.885	-9.30664
3.89	-9.30664
3.895	-9.30664
3.9	-9.30664
3.905	-9.30664
3.91	-9.30664
3.915	-9.30664
3.92	-9.30664
3.925	-9.30664
3.93	-9.30664
3.935	-9.30664
3.94	-9.30664
3.945	-9.30664
3.95	-9.30664
3.955	-9.30664
3.96	-9.30664
3.965	-9.30664
3.97	-9.30664
3.975	-9.30664
3.98	-9.30664
3.985	-9.30664
3.99	-9.30664
3.995	-9.30664
4	-9.30664
4.005	-9.30664
4.01	-9.30664
4.015	-9.30664
4.02	-9.30664
4.025	-9.30664
4.03	-9.30664
4.035	-9.30664
4.04	-9.30664
4.045	-9.30664
4.05	-9.30664
4.055	-9.30664
